Number_Trees,Precision,Recall,F1_Score,Time
3,88.41,86.91,87.62,11.965954303741455
4,89.23,89.29,89.25,15.973534345626831
5,93.49,93.31,93.39,20.091113805770874
6,93.78,92.98,93.37,24.259386777877808
7,94.74,94.33,94.53,27.7517352104187
8,94.74,94.33,94.53,31.848156213760376
9,94.38,93.75,94.06,36.17387819290161
10,93.94,93.67,93.80,39.822176456451416
11,94.08,93.75,93.91,44.13295388221741
12,95.71,95.25,95.48,50.13225317001343
13,96.47,96.59,96.53,55.78840637207031
14,96.61,96.40,96.50,57.344234466552734
15,97.10,97.06,97.08,61.88128995895386
16,97.02,97.06,97.04,67.78463578224182
17,96.69,96.51,96.60,71.81413269042969
18,96.77,96.32,96.54,77.29879999160767
19,97.18,96.87,97.03,81.64238786697388
20,96.61,96.51,96.56,87.45549392700195
