Number_Trees,Precision,Recall,F1_Score,Time
3,90.15,86.53,88.29,36.00894522666931
4,90.25,88.41,89.31,44.84962749481201
5,90.38,84.63,87.33,55.783658504486084
6,90.42,84.34,87.23,69.05762934684753
7,91.43,86.79,89.02,79.59746646881104
8,91.22,87.68,89.39,93.3360025882721
9,92.14,87.43,89.70,106.02753686904907
10,92.73,89.13,90.88,120.03589153289795
11,92.98,87.04,89.86,125.93081831932068
12,92.22,85.82,88.86,134.91506838798523
13,90.87,86.15,88.41,145.53169918060303
14,90.52,85.32,87.81,161.23131608963013
15,91.54,86.18,88.75,169.4045126438141
16,91.84,86.42,89.02,179.64905977249146
17,90.95,85.96,88.34,192.1587507724762
18,90.86,84.42,87.48,200.42153763771057
19,91.00,85.96,88.36,215.99205780029297
20,90.64,85.16,87.76,224.0676622390747
